INSEE_COM;Annee;Nb_mutations;NbMaisons;NbApparts;propmaison;propappart;PrixMoyen;Prixm2Moyen;SurfaceMoy
34327;2023;64;43;21;67.1875;32.8125;327007.796875;3907.171875;86.5625
34328;2023;10;8;2;80;20;183187;2301;76.7
34329;2023;68;58;10;85.2941176470588;14.7058823529412;197301.661764706;3689.04411764706;58.9852941176471
34331;2023;4;4;0;100;0;95340;1098;95.25
34332;2023;145;116;29;80;20;188251.2;3220.00689655172;62.3586206896552
34333;2023;66;65;1;98.4848484848485;1.51515151515152;226554.151515152;6046.51515151515;46.4242424242424
34334;2023;6;6;0;100;0;121450;1560.66666666667;75
34335;2023;7;7;0;100;0;174414.285714286;1994.14285714286;96.8571428571429
34336;2023;84;63;21;75;25;178952.119047619;2313.80952380952;78.2142857142857
34337;2023;96;77;19;80.2083333333333;19.7916666666667;338436.770833333;3826.09375;87.1354166666667
34338;2023;1;0;1;0;100;220000;2750;80
34339;2023;3;3;0;100;0;208366.666666667;1930.33333333333;103.333333333333
34340;2023;15;14;1;93.3333333333333;6.66666666666667;417610.2;3829.2;107.266666666667
34341;2023;33;29;4;87.8787878787879;12.1212121212121;253509.03030303;2798.72727272727;90.2424242424242
34342;2023;3;3;0;100;0;435900;3783.66666666667;116.666666666667
34343;2023;12;9;3;75;25;362133.333333333;3435.75;100.75
34344;2023;750;51;699;6.8;93.2;205505.022666667;5565.48933333333;37.0093333333333
35001;2023;54;38;16;70.3703703703704;29.6296296296296;295758.166666667;3095.27777777778;97.5555555555556
35002;2023;14;14;0;100;0;253251.142857143;2211.5;119.785714285714
35003;2023;13;13;0;100;0;219215.384615385;2458;92.1538461538462
35004;2023;57;52;5;91.2280701754386;8.7719298245614;113932.192982456;1243.0701754386;88.280701754386
35005;2023;4;4;0;100;0;106317.25;1205.75;86.25
35006;2023;39;28;11;71.7948717948718;28.2051282051282;188388.512820513;2092.4358974359;95.1025641025641
35007;2023;2;2;0;100;0;253550;2121;119.5
35008;2023;5;5;0;100;0;276900;1776.8;166.4
35009;2023;16;14;2;87.5;12.5;172103.75;2037.5625;87.875
35010;2023;16;16;0;100;0;221957.8125;2090.8125;108.75
35012;2023;107;82;25;76.6355140186916;23.3644859813084;222388.271028037;2318.68224299065;93.7289719626168
35013;2023;45;45;0;100;0;208750.333333333;2152.24444444444;95.4666666666667
35014;2023;34;34;0;100;0;212793.823529412;2056.67647058824;106.441176470588
35015;2023;19;19;0;100;0;203445.421052632;2040.26315789474;102.315789473684
35016;2023;42;41;1;97.6190476190476;2.38095238095238;222413.380952381;2303.97619047619;99.1190476190476
35017;2023;10;10;0;100;0;207430;2244.8;91.9
35018;2023;16;16;0;100;0;99675;1331;83.25
35019;2023;23;23;0;100;0;144639.173913043;1719.82608695652;91.304347826087
35021;2023;8;8;0;100;0;175812.5;1820.75;97.25
35022;2023;8;8;0;100;0;159906.25;1827.25;88.25
35023;2023;41;35;6;85.3658536585366;14.6341463414634;267426.853658537;2490.70731707317;106.560975609756
35024;2023;137;87;50;63.5036496350365;36.4963503649635;324213.138686131;3387.62773722628;95.1897810218978
35025;2023;9;9;0;100;0;159700;1620.55555555556;94.7777777777778
35026;2023;1;1;0;100;0;260500;1515;172
35027;2023;23;23;0;100;0;175925.739130435;1865.17391304348;96.7826086956522
35028;2023;13;13;0;100;0;145407.692307692;1740.84615384615;83.6153846153846
35029;2023;31;31;0;100;0;188862.258064516;1933.77419354839;104.612903225806
35030;2023;9;9;0;100;0;232388.888888889;2025.33333333333;116.777777777778
35031;2023;49;46;3;93.8775510204082;6.12244897959184;231761.795918367;2354.87755102041;101.387755102041
35032;2023;39;30;9;76.9230769230769;23.0769230769231;262718.076923077;2702.33333333333;98.3589743589744
35033;2023;30;25;5;83.3333333333333;16.6666666666667;232980;2253.9;103.2
35034;2023;21;21;0;100;0;155855.238095238;1584.66666666667;99.2857142857143
35035;2023;7;7;0;100;0;206593;1997.85714285714;109.428571428571
35037;2023;58;43;15;74.1379310344828;25.8620689655172;241752.896551724;2931.77586206897;88.2068965517241
35038;2023;5;5;0;100;0;178140;1513.8;126.2
35039;2023;12;11;1;91.6666666666667;8.33333333333333;298250.916666667;2981.58333333333;100.333333333333
35040;2023;26;23;3;88.4615384615385;11.5384615384615;258309.269230769;2555.15384615385;108.692307692308
35041;2023;8;8;0;100;0;234868.75;2320.5;100.875
35042;2023;8;8;0;100;0;151400;1614.375;93
35044;2023;4;4;0;100;0;164875;2012;94.5
35045;2023;10;10;0;100;0;118757;1723.6;73.6
35046;2023;5;5;0;100;0;131718;1559.8;90.2
35047;2023;221;109;112;49.3212669683258;50.6787330316742;269338.886877828;3276.34841628959;84.3348416289593
35049;2023;100;59;41;59;41;347936.7;4295.98;89.3
35050;2023;8;8;0;100;0;303327;2145.625;140.25
35051;2023;194;99;95;51.0309278350515;48.9690721649485;372338.340206186;4096.52577319588;91.8505154639175
35052;2023;4;4;0;100;0;230712.5;2127;118.25
35054;2023;18;18;0;100;0;225308.333333333;2394.22222222222;94.3888888888889
35055;2023;147;47;100;31.9727891156463;68.0272108843537;259897.619047619;3256.20408163265;80.9931972789116
35056;2023;9;9;0;100;0;224750.111111111;1894.22222222222;121.888888888889
35057;2023;18;13;5;72.2222222222222;27.7777777777778;117406.277777778;1649.61111111111;75.1666666666667
35058;2023;9;9;0;100;0;272010.333333333;2697.66666666667;113.888888888889
35059;2023;62;49;13;79.0322580645161;20.9677419354839;297054.85483871;3102.98387096774;97.9193548387097
35060;2023;9;9;0;100;0;192650.111111111;2993.33333333333;89.4444444444444
35061;2023;8;8;0;100;0;140506.25;1676.875;83.125
35062;2023;15;15;0;100;0;136373.333333333;1359.8;102.133333333333
35063;2023;4;4;0;100;0;193975;1802;124.75
35064;2023;35;35;0;100;0;108020.028571429;1434.11428571429;76.5714285714286
35065;2023;31;21;10;67.741935483871;32.258064516129;218711.225806452;2497.29032258065;88.6129032258064
35066;2023;109;60;49;55.045871559633;44.954128440367;248095.779816514;3130.81651376147;80.0275229357798
35067;2023;14;14;0;100;0;292089.285714286;2944;105
35068;2023;90;66;24;73.3333333333333;26.6666666666667;242294.022222222;2621.05555555556;94.4444444444444
35069;2023;130;90;40;69.2307692307692;30.7692307692308;273806.492307692;2797.00769230769;98.7076923076923
35070;2023;28;17;11;60.7142857142857;39.2857142857143;203765.5;2503.82142857143;84.6428571428571
35071;2023;5;5;0;100;0;134447.6;1415;96
35072;2023;18;18;0;100;0;134358.111111111;1550.77777777778;87.3888888888889
35075;2023;7;7;0;100;0;208500.285714286;1687.85714285714;123.714285714286
35076;2023;53;35;18;66.0377358490566;33.9622641509434;245528.094339623;2878.32075471698;87.4150943396226
35077;2023;5;5;0;100;0;84738;1111.8;81
35078;2023;16;15;1;93.75;6.25;305340.625;2802.3125;114.625
35079;2023;21;21;0;100;0;301809.428571429;2599.52380952381;114.666666666667
35080;2023;27;24;3;88.8888888888889;11.1111111111111;236539.296296296;2461.66666666667;97.0740740740741
35081;2023;7;7;0;100;0;280500;2602.14285714286;114.857142857143
35082;2023;17;17;0;100;0;182362.352941176;1506.41176470588;122.470588235294
35084;2023;3;3;0;100;0;117203.333333333;1717.66666666667;62.6666666666667
35085;2023;79;65;14;82.2784810126582;17.7215189873418;218137.911392405;2347.35443037975;96.126582278481
35086;2023;4;4;0;100;0;169375;1739.5;100.5
35087;2023;7;7;0;100;0;209544;1971.42857142857;113.142857142857
35088;2023;33;28;5;84.8484848484848;15.1515151515152;241358.696969697;2554.84848484848;99.7575757575758
35089;2023;10;10;0;100;0;202605;1773.2;118
35090;2023;29;24;5;82.7586206896552;17.2413793103448;198419.620689655;2179.72413793103;92.448275862069
35091;2023;9;9;0;100;0;207883.333333333;1835.55555555556;114.888888888889
35092;2023;7;7;0;100;0;188285.857142857;2084;95.7142857142857
35093;2023;278;120;158;43.1654676258993;56.8345323741007;459984.758992806;5938.80575539568;77.0215827338129
35094;2023;30;29;1;96.6666666666667;3.33333333333333;163098.5;1952.56666666667;87.2
35095;2023;98;59;39;60.2040816326531;39.7959183673469;195451.663265306;2445.41836734694;82.4183673469388
35096;2023;32;23;9;71.875;28.125;212629.375;2544.53125;89.53125
35097;2023;15;14;1;93.3333333333333;6.66666666666667;163842.2;1744.66666666667;97.4666666666667
35098;2023;10;10;0;100;0;141831.5;1684.1;83.1
35099;2023;42;35;7;83.3333333333333;16.6666666666667;305221.404761905;2864.11904761905;107.619047619048
35101;2023;12;12;0;100;0;183854.166666667;2504.41666666667;81.6666666666667
35102;2023;5;5;0;100;0;185700;1545.8;122.6
35103;2023;13;13;0;100;0;176751.230769231;1558.76923076923;117.307692307692
35104;2023;13;13;0;100;0;204621.307692308;2050.46153846154;110.153846153846
35105;2023;22;22;0;100;0;222188.181818182;2058.59090909091;107.772727272727
35106;2023;18;17;1;94.4444444444444;5.55555555555556;122913.888888889;1550.38888888889;75.7777777777778
35107;2023;16;15;1;93.75;6.25;228315.125;2324.625;104.0625
35108;2023;7;7;0;100;0;186442.857142857;1825.28571428571;107
35109;2023;18;18;0;100;0;220028.388888889;2217.55555555556;105.777777777778
35110;2023;10;10;0;100;0;217592.4;2375.9;96.6
35111;2023;9;9;0;100;0;128540;1492.11111111111;89.6666666666667
35112;2023;1;1;0;100;0;177000;1863;95
35114;2023;6;6;0;100;0;140166.666666667;1821.33333333333;80.1666666666667
35115;2023;276;122;154;44.2028985507246;55.7971014492754;148588.992753623;1954.6268115942;76.5724637681159
35116;2023;28;26;2;92.8571428571429;7.14285714285714;243154.857142857;2407.92857142857;105.821428571429
35117;2023;25;20;5;80;20;137568;1536.92;94
35118;2023;10;10;0;100;0;214858.5;2244.2;96.7
35119;2023;3;3;0;100;0;237000;1805;132.333333333333
35120;2023;54;40;14;74.0740740740741;25.9259259259259;290923.740740741;2970.33333333333;98.5740740740741
35121;2023;22;22;0;100;0;285161.181818182;2436.77272727273;117.272727272727
35122;2023;26;24;2;92.3076923076923;7.69230769230769;299461.538461538;3125.11538461538;97.5769230769231
35123;2023;43;33;10;76.7441860465116;23.2558139534884;223535.581395349;2469.76744186047;94.3023255813954
35124;2023;36;35;1;97.2222222222222;2.77777777777778;177163.166666667;1652.33333333333;105.361111111111
35125;2023;53;43;10;81.1320754716981;18.8679245283019;145498.396226415;1643.62264150943;90.3396226415094
35126;2023;87;76;11;87.3563218390805;12.6436781609195;272666.310344828;2882.94252873563;99.2298850574713
35127;2023;47;43;4;91.4893617021277;8.51063829787234;210916.425531915;2520.63829787234;89.531914893617
35128;2023;12;12;0;100;0;216332.5;2069.41666666667;98.5833333333333
35130;2023;36;33;3;91.6666666666667;8.33333333333333;226627.916666667;2215.61111111111;101.083333333333
35131;2023;44;24;20;54.5454545454545;45.4545454545455;236696.386363636;3051.88636363636;81.6590909090909
35132;2023;17;17;0;100;0;225552.941176471;2137.11764705882;106.117647058824
35133;2023;48;48;0;100;0;203557.958333333;2167.35416666667;98.6666666666667
35134;2023;5;5;0;100;0;233200;2281;99.4
